Category,Question,Correct Answer,Option A,Option B,Option C,Option D,Option E,Option F
New API's (html/css/js),Which new global JavaScript object is designed to replace the legacy `Date` API with a more reliable and timezone-aware system?,Temporal,Chrono,Temporal,TimeZone,DateTime,,
New API's (html/css/js),Which ECMAScript proposal introduces an operator that allows the result of one expression to be passed directly into the next?,Pipeline operator,Stream operator,Sequence operator,Flow operator,Pipeline operator,,
New API's (html/css/js),Which CSS feature allows an element to be positioned relative to another element without writing JavaScript?,Anchor Positioning API,Anchor Positioning API,CSS Position Queries,Relative Layout Model,Element Binding API,,
New API's (html/css/js),"Which CSS at-rule enables styles to apply only to a specific section of the DOM, preventing selector leakage?",@scope,@region,@subset,@scope,@context,,
New API's (html/css/js),What HTML feature allows an element—such as a button—to declaratively trigger an action (like opening a dialog) on a target element without JavaScript?,Invoker Commands API,HTML Actions API,Invoker Commands API,Declarative Events API,Element Control Attributes,,
New API's (html/css/js),Which JavaScript API allows web applications to perform computations on a background thread and then synchronously access the result without blocking the main thread?,Atomics + SharedArrayBuffer,Web Workers,Service Workers,OffscreenCanvas,Atomics + SharedArrayBuffer,,
History of the Web,What major tech company trademarked the word “JavaScript”?,Sun Microsystems,Sun Microsystems,Microsoft,Netscape,Oracle,,
History of the Web,What company created the V8 JavaScript engine?,Google,Mozilla,Google,Apple,Netscape,,
History of the Web,What major event in 2010 caused Flash to rapidly decline in favor of HTML5?,Apple’s refusal to support Flash on the iPhone/iPad,The launch of Chrome,Apple’s refusal to support Flash on the iPhone/iPad,Adobe discontinuing Flash Player,A major Flash security breach,,
History of the Web,What was the name of the first widely-used JavaScript package manager?,npm,npm,bower,yarn,JamJS,,
History of the Web,What influential 1996 web standard introduced inline frames (iframes)?,HTML 3.2,HTML 2.0,HTML 3.2,HTML 4.0,XHTML 1.0,,
History of the Web,Which npm package has the most installs of all time (direct installs)?,lodash,express,react,lodash,axios,,
History of the Web,Which JavaScript runtime existed before Node.js and ran JavaScript on the JVM?,Rhino,Nashorn,Rhino,SpiderMonkey,GraalJS,,
History of the Web,"In 2025, Microsoft announced it would be re-writing TypeScript in which language?",Go,Rust,C++,Go,Zig,,
JS Quirks,Array.isArray(new Uint8Array(10)) evaluates to:,false,true,false,TypeError,[object Uint8Array],,
JS Quirks,"What is the result of the expression: [1,2] + [3,4]","""1,23,4""","""1,2,3,4""","[1, 2, 3, 4]",SyntaxError,"""1,23,4""",,
JS Quirks,Which of the following is a VALID way to store data in the localStorage Web API?,"localStorage.foo = ""bar""","localStorage.set(""foo"", ""bar"")","localStorage.add(""foo"", ""bar"")","localStorage.write(""foo"", ""bar"")","localStorage.foo = ""bar""",,
JS Quirks,Which of the following patterns becomes a specific SyntaxError when 'use strict' is enabled?,"function foo(a, a) { ... }",if (true) function f() { },delete object.prop,"function foo(a, a) { ... }",,,
JS Quirks,Which of the following statements is true?,"typeof null === ""object""",null instanceof Object,"typeof null === ""object""",null == NaN,null === undefined,,
JS Quirks,"What does JSON.stringify({ a: undefined, b: null, c: [undefined] }) return?","{""b"":null,""c"":[null]}","{""a"":undefined,""b"":null,""c"":[undefined]}","{""b"":null,""c"":[null]}","{""a"":null,""b"":null,""c"":[null]}",Throws a TypeError,,
Modern JavaScript Syntax & Features,Which keyword allows you to declare a variable that cannot be reassigned?,const,let,const,final,immutable,,
Modern JavaScript Syntax & Features,What does the ?? operator do in JavaScript?,Returns the right operand if the left is null or undefined,Returns the right operand if the left is null or undefined,Returns the right operand if the left is falsy,Performs null checking and throws an error,Combines two values into an array,,
Modern JavaScript Syntax & Features,Which method allows you to create a shallow copy of an array?,All of the above,[...array],array.slice(),Array.from(array),All of the above,,
Modern JavaScript Syntax & Features,Which of the following is not a valid method on Promises?,Promise.settled(),Promise.race(),Promise.settled(),Promise.finally(),Promise.try(),,
Modern JavaScript Syntax & Features,"What is the output of: [...""hello""]?","[""h"",""e"",""l"",""l"",""o""]","""hello""","[""h"",""e"",""l"",""l"",""o""]","[""hello""]",Error: strings are not iterable,,
Modern JavaScript Syntax & Features,Which method returns a new array with all sub-array elements concatenated into it recursively up to a specified depth?,flat(),flatten(),concat(),merge(),flat(),,
JavaScript Culture & Ecosystem,"What does ""Deno"" (the Node.js alternative) stand for?",Destroy Node,Destroy Node,Decentralized Node,Design Node,It doesn't stand for anything,,
JavaScript Culture & Ecosystem,What year was Node.js first released?,2009,2005,2007,2009,2011,,
JavaScript Culture & Ecosystem,What is the most starred JavaScript project on GitHub?,freeCodeCamp,React,Vue.js,freeCodeCamp,Node.js,,
JavaScript Culture & Ecosystem,What infamous npm package with only 11 lines of code broke thousands of projects when unpublished in 2016?,left-pad,left-pad,is-array,pad-left,string-pad,,
JavaScript Culture & Ecosystem,"What does ""JSX"" stand for?",JavaScript XML,JavaScript Extension,JavaScript XML,Reactive JavaScript,JavaScript Syntax,,
